Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,D%P15,EGPM,GOLD%,STL,WPM,CWPM,WCPM
Farfetch,İstanbul Wildcats,Support,7,14%,29%,11,48,27,0.8,56.70%,16.40%,30.60%,14%,-150,-268,0.4,1.3,4.30%,169,10.10%,9.60%,100,10.30%,0,1.16,0.26,0.4
Ferret,İstanbul Wildcats,Jungle,7,14%,57%,17,32,32,1.5,73.10%,25.40%,20.40%,29%,-492,-235,-5.1,6.1,17.50%,287,17.20%,17.60%,198,20.20%,0,0.41,0.26,0.37
HolyPhoenix,İstanbul Wildcats,ADC,7,14%,43%,18,26,30,1.8,71.60%,26.90%,16.60%,14%,-410,-44,-10.4,8.7,31.60%,394,24.10%,25.40%,275,27.00%,0,0.35,0.09,0.25
Serin,İstanbul Wildcats,Middle,7,14%,43%,11,22,36,2.1,70.10%,16.40%,14.00%,14%,-191,83,0.6,8,25.20%,399,23.20%,23.40%,221,22.00%,0,0.54,0.14,0.15
StarScreen,İstanbul Wildcats,Top,7,14%,71%,10,29,19,1,43.30%,14.90%,18.50%,14%,-427,-387,-14.3,7.4,21.40%,424,25.30%,24.00%,207,20.50%,0,0.37,0.08,0.1
Evi,DetonatioN FocusMe,Top,6,17%,67%,20,22,23,2,43.40%,20.20%,20.20%,33%,-163,156,-8.3,7.5,23.90%,406,23.20%,20.60%,247,21.00%,0,0.3,0.12,0.25
Harp,DetonatioN FocusMe,Support,6,17%,50%,4,23,67,3.1,71.70%,4.00%,21.10%,17%,262,-138,7.8,1.9,5.10%,176,9.40%,7.90%,127,11.00%,0,1.39,0.59,0.4
Steal,DetonatioN FocusMe,Jungle,6,17%,50%,30,20,37,3.4,67.70%,30.30%,18.30%,50%,273,2,-4,6.6,19.50%,338,18.20%,18.80%,246,20.70%,0,0.56,0.42,0.59
Yaharong,DetonatioN FocusMe,Middle,6,17%,33%,21,24,42,2.6,63.60%,21.20%,22.00%,17%,215,92,1.5,7.8,24.60%,425,22.30%,24.60%,272,23.10%,0,0.22,0.1,0.18
Yutapon,DetonatioN FocusMe,ADC,6,17%,17%,24,20,39,3.2,63.60%,24.20%,18.30%,0%,-36,250,-15,7,26.90%,478,26.80%,28.00%,269,24.00%,0,0.48,0.08,0.29
Danny,Evil Geniuses,ADC,21,43%,67%,74,57,108,3.2,59.90%,24.30%,19.10%,14%,65,37,4.7,9.6,30.90%,498,26.80%,29.40%,303,25.50%,0,0.41,0.08,0.39
Impact,Evil Geniuses,Top,21,43%,48%,60,64,111,2.7,56.30%,19.70%,21.40%,14%,-163,55,-1.3,7.9,24.60%,465,25.00%,23.50%,263,22.80%,0,0.39,0.1,0.18
Inspired,Evil Geniuses,Jungle,21,43%,71%,83,50,120,4.1,66.80%,27.30%,16.70%,14%,72,293,6.2,8.2,20.50%,338,17.90%,18.60%,244,20.80%,2,0.36,0.19,0.35
jojopyun,Evil Geniuses,Middle,21,43%,43%,78,57,123,3.5,66.10%,25.70%,19.10%,24%,134,-37,1.5,7.7,21.30%,433,22.80%,21.40%,256,22.20%,0,0.39,0.17,0.23
Vulcan,Evil Geniuses,Support,21,43%,38%,9,71,196,2.9,67.40%,3.00%,23.70%,19%,-62,61,-2.8,1.2,2.70%,144,7.50%,7.10%,102,8.70%,0,1.71,0.53,0.37
Broken Blade,G2 Esports,Top,21,62%,52%,58,44,101,3.6,50.80%,18.50%,17.40%,14%,-2,-90,-3.8,7.7,23.60%,414,23.20%,22.00%,250,21.20%,0,0.49,0.23,0.12
caPs,G2 Esports,Middle,21,62%,48%,82,57,125,3.6,66.10%,26.20%,22.50%,19%,112,36,0.1,8.3,23.40%,487,26.20%,25.20%,288,23.70%,0,0.43,0.11,0.23
Flakked,G2 Esports,ADC,21,62%,43%,78,46,109,4.1,59.70%,24.90%,18.20%,29%,-110,38,-4.6,9.1,30.30%,467,24.60%,27.80%,309,25.80%,0,0.6,0.16,0.31
Jankos,G2 Esports,Jungle,21,62%,38%,67,61,125,3.1,61.30%,21.40%,24.10%,48%,27,-120,-5.4,7.1,18.60%,318,17.00%,17.00%,230,19.10%,1,0.45,0.21,0.49
