source,date,team,game,specialty,sex,birthday,age,subject,rt,attempts
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,207,1
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,193,2
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,201,3
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,182,4
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,167,5
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,182,1
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,179,2
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,177,3
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,187,4
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,173,5
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,168,1
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,160,2
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,176,3
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,155,4
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,160,5
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,186,1
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,206,2
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,197,3
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,169,4
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,185,5
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,181,1
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,245,2
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,201,3
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,186,4
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,220,5
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,164,1
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,183,2
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,179,3
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,164,4
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,171,5
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,192,1
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,174,2
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,179,3
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,163,4
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,173,5
youtube,8/31/2021,BIG,csgo,rifler,male,5/7/1995,26.3,xantares,215,1
